City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
256,Moose Factory,CA,66.2,overcast clouds,51.2585,-80.6094,Cree Village Eco Lodge
258,Belmonte,BR,72.79,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
259,Rio Gallegos,AR,28.45,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
260,El Dorado,US,92.61,clear sky,38.7666,-120.5177,South Fork Group Campground
261,Meulaboh,ID,76.57,moderate rain,4.1363,96.1285,Kost Pria
262,Cidreira,BR,63.97,overcast clouds,-30.1811,-50.2056,Hotel Castelo
263,Phek,IN,59.68,overcast clouds,25.6667,94.5,Prayer Centre
264,Marakkanam,IN,84.87,overcast clouds,12.2,79.95,Samvasa by the Sea
265,Sayaxche,GT,91.74,overcast clouds,16.5167,-90.1667,Hotel y Auto Hotel Arizona
266,Careiro Da Varzea,BR,90.23,overcast clouds,-3.2003,-59.8119,POUSADA DA ALDENORA
267,Jibuti,DJ,82.24,overcast clouds,11.5,42.5,Orchid Main Camp Goubet
268,Smithers,CA,59.32,light rain,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
269,Port Elizabeth,ZA,55.69,clear sky,-33.918,25.5701,39 On Nile Guest House
270,Buala,SB,80.56,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
271,Palmer,US,83.62,few clouds,42.1584,-72.3287,Wedgewood Motel
272,Sechura,PE,73.2,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
273,San Vicente,AR,70.92,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
274,Moranbah,AU,43.12,clear sky,-22.0016,148.0466,Property Vine - Monterey Moranbah
275,Ancud,CL,46.22,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
276,Itaituba,BR,91.56,few clouds,-4.2761,-55.9836,Hotel Campos
277,Mbandaka,CD,75.04,broken clouds,0.0487,18.2603,Guest House Epervier
278,Petropavlovka,RU,55.9,heavy intensity rain,50.6114,105.3196,Tuyaa
279,Bandarbeyla,SO,75.65,broken clouds,9.4942,50.8122,JABIR HOTEL
280,Hue,VN,77.11,broken clouds,16.4667,107.6,Saigon Morin Hotel
281,Souillac,MU,70.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
282,Esfarayen,IR,65.86,clear sky,37.0765,57.5101,دفتر ازدواج 65 : سردفتر ابراهیم برغمدی
283,Brookings,US,93.2,clear sky,44.3114,-96.7984,"Holiday Inn Express & Suites Brookings, an IHG Hotel"
284,Hofn,IS,50.25,overcast clouds,64.2539,-15.2082,Hótel Höfn
285,Shubarkuduk,KZ,73.98,few clouds,49.1447,56.4872,Sirius
286,Padang,ID,76.37,overcast clouds,-0.9492,100.3543,Mercure Padang
287,Nishihara,JP,82.45,few clouds,26.1842,127.7558,Minshuku Agaihama
288,Yar-Sale,RU,48.54,few clouds,66.8333,70.8333,Yalemd
289,Guerrero Negro,MX,77.61,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
290,Havre-Saint-Pierre,CA,57.56,overcast clouds,50.2334,-63.5986,Auberge Niapiskau
291,Nanortalik,GL,43.43,broken clouds,60.1432,-45.2371,Hotel Kap Farvel
292,Sao Joao Da Barra,BR,75.29,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
293,Longyearbyen,SJ,43.41,overcast clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
294,Norman Wells,CA,77.04,smoke,65.282,-126.8329,Heritage Hotel
295,Sinjar,IQ,85.01,clear sky,36.3209,41.8754,زوماني فون 1
296,Moerai,PF,73.51,overcast clouds,-22.4333,-151.3333,Le Manotel
297,San Policarpo,PH,78.39,heavy intensity rain,12.1791,125.5072,Agapita M. Nicart
298,Alabaster,US,89.64,haze,33.2443,-86.8164,"Candlewood Suites Alabaster, an IHG Hotel"
299,Shache,CN,78.71,overcast clouds,38.4167,77.2406,Delong Hotel
300,Dwarka,IN,82.44,moderate rain,22.2394,68.9678,Hotel Narayan Avezika Comfort
301,Haines Junction,CA,64.35,overcast clouds,60.7522,-137.5108,Parkside Inn
303,Lorengau,PG,81.91,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
306,Bengkulu,ID,74.1,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
307,Pizarro,CO,79.59,overcast clouds,4.9533,-77.366,Hotel Limonar
308,Barcelos,PT,70.92,clear sky,41.5388,-8.6151,Hotel Restaurante Bagoeira
309,Dong Hoi,VN,78.04,overcast clouds,17.4833,106.6,Nam Long Hotel
310,Greensburg,US,87.26,clear sky,40.3015,-79.5389,Courtyard by Marriott Pittsburgh Greensburg
311,Prince Rupert,CA,55.49,light rain,54.3161,-130.3201,Crest Hotel
312,Bubaque,GW,81.16,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
313,Port Macquarie,AU,55.33,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
314,Show Low,US,86.65,clear sky,34.2542,-110.0298,Hampton Inn & Suites Show Low-Pinetop
315,Byron Bay,AU,51.71,broken clouds,-28.65,153.6167,Backpackers Inn
316,Westerly,US,82.74,clear sky,41.3776,-71.8273,La Quinta Inn & Suites by Wyndham Stonington-Mystic Area
317,Oktyabrskoye,RU,71.74,overcast clouds,43.0645,44.7417,Prolesok Mini-hotel
318,Tuatapere,NZ,33.57,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
319,Bouna,CI,75.09,light rain,9.2667,-3.0,Hôtel lababa
320,Kahama,TZ,66.61,clear sky,-3.8333,32.6,Kahama Gold Hotel
321,Churapcha,RU,69.03,light rain,62.0025,132.4325,"""Tusku"""
322,Rock Springs,US,91.24,clear sky,41.5875,-109.2029,Homewood Suites by Hilton Rock Springs
323,Hachinohe,JP,68.76,broken clouds,40.5,141.5,Hachinohe Grand Hotel
324,Pingliang,CN,71.06,overcast clouds,35.5392,106.6861,North Gate Hostel
325,Gorontalo,ID,75.0,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
326,Pauini,BR,77.38,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
327,Port Moresby,PG,76.42,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
328,Vestmannaeyjar,IS,51.42,overcast clouds,63.4427,-20.2734,Glamping & Camping
329,Corning,US,82.11,clear sky,42.1428,-77.0547,Fairfield Inn by Marriott Corning Riverside
330,Soe,ID,62.71,overcast clouds,-9.8607,124.284,Dena Hotel
331,Kruisfontein,ZA,51.12,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
333,Matagami,CA,73.51,broken clouds,49.7502,-77.6328,Motel Le Caribou
334,Gigante,CO,79.47,scattered clouds,2.3868,-75.5453,Bosques De Luna
335,Sisimiut,GL,42.12,overcast clouds,66.9395,-53.6735,Hotel Sisimiut
337,Kahului,US,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
338,Tabou,CI,75.42,scattered clouds,4.423,-7.3528,hotêl doufoulougou
339,Kernersville,US,67.17,light rain,36.1199,-80.0736,"Holiday Inn Express Kernersville, an IHG Hotel"
340,Port-Cartier,CA,61.02,overcast clouds,50.0334,-66.8654,Le Q'Artier
341,Umm Lajj,SA,85.12,overcast clouds,25.0213,37.2685,Moon light Furnished Units
342,Karwar,IN,77.94,light rain,14.8,74.1333,Netalco Connects
343,Laguna,US,99.09,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
344,Constitucion,CL,51.78,scattered clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
345,Westport,US,84.61,clear sky,41.1415,-73.3579,The Westport Inn
