City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
254,Bloomfield,US,40.8068,-74.1854,87.21,42,0,6.91,clear sky
255,Sterling,US,39.0062,-77.4286,84.94,55,75,5.99,broken clouds
256,Moose Factory,CA,51.2585,-80.6094,66.2,72,100,6.91,overcast clouds
257,Chokurdakh,RU,70.6333,147.9167,64.2,46,98,9.95,overcast clouds
258,Belmonte,BR,-15.8631,-38.8828,72.79,76,7,7.96,clear sky
259,Rio Gallegos,AR,-51.6226,-69.2181,28.45,80,0,3.44,clear sky
260,El Dorado,US,38.7666,-120.5177,92.61,32,0,1.01,clear sky
261,Meulaboh,ID,4.1363,96.1285,76.57,88,100,3.27,moderate rain
262,Cidreira,BR,-30.1811,-50.2056,63.97,86,100,9.84,overcast clouds
263,Phek,IN,25.6667,94.5,59.68,99,87,2.15,overcast clouds
264,Marakkanam,IN,12.2,79.95,84.87,55,100,18.14,overcast clouds
265,Sayaxche,GT,16.5167,-90.1667,91.74,46,91,2.89,overcast clouds
266,Careiro Da Varzea,BR,-3.2003,-59.8119,90.23,64,99,4.23,overcast clouds
267,Jibuti,DJ,11.5,42.5,82.24,46,100,10.38,overcast clouds
268,Smithers,CA,54.7804,-127.1743,59.32,77,100,6.91,light rain
269,Port Elizabeth,ZA,-33.918,25.5701,55.69,93,0,11.5,clear sky
270,Buala,SB,-8.145,159.5921,80.56,77,100,4.63,overcast clouds
271,Palmer,US,42.1584,-72.3287,83.62,32,20,5.75,few clouds
272,Sechura,PE,-5.5569,-80.8222,73.2,58,67,14.99,broken clouds
273,San Vicente,AR,-26.6167,-54.1333,70.92,54,95,6.58,overcast clouds
274,Moranbah,AU,-22.0016,148.0466,43.12,64,0,7.99,clear sky
275,Ancud,CL,-41.8697,-73.8203,46.22,88,95,7.34,light rain
276,Itaituba,BR,-4.2761,-55.9836,91.56,55,20,0.0,few clouds
277,Mbandaka,CD,0.0487,18.2603,75.04,64,59,1.34,broken clouds
278,Petropavlovka,RU,50.6114,105.3196,55.9,84,100,4.41,heavy intensity rain
279,Bandarbeyla,SO,9.4942,50.8122,75.65,78,53,32.68,broken clouds
280,Hue,VN,16.4667,107.6,77.11,94,75,4.61,broken clouds
281,Souillac,MU,-20.5167,57.5167,70.18,64,40,17.27,scattered clouds
282,Esfarayen,IR,37.0765,57.5101,65.86,21,0,4.74,clear sky
283,Brookings,US,44.3114,-96.7984,93.2,61,0,13.8,clear sky
284,Hofn,IS,64.2539,-15.2082,50.25,98,100,13.82,overcast clouds
285,Shubarkuduk,KZ,49.1447,56.4872,73.98,42,15,7.9,few clouds
286,Padang,ID,-0.9492,100.3543,76.37,85,100,3.24,overcast clouds
287,Nishihara,JP,26.1842,127.7558,82.45,91,20,5.75,few clouds
288,Yar-Sale,RU,66.8333,70.8333,48.54,87,21,8.52,few clouds
289,Guerrero Negro,MX,27.9769,-114.0611,77.61,58,11,17.18,few clouds
290,Havre-Saint-Pierre,CA,50.2334,-63.5986,57.56,72,100,19.57,overcast clouds
291,Nanortalik,GL,60.1432,-45.2371,43.43,84,60,4.21,broken clouds
292,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,82,42,14.45,scattered clouds
293,Longyearbyen,SJ,78.2186,15.6401,43.41,93,100,8.59,overcast clouds
294,Norman Wells,CA,65.282,-126.8329,77.04,47,100,2.3,smoke
295,Sinjar,IQ,36.3209,41.8754,85.01,24,0,16.93,clear sky
296,Moerai,PF,-22.4333,-151.3333,73.51,57,89,12.86,overcast clouds
297,San Policarpo,PH,12.1791,125.5072,78.39,86,100,3.65,heavy intensity rain
298,Alabaster,US,33.2443,-86.8164,89.64,71,75,5.75,haze
299,Shache,CN,38.4167,77.2406,78.71,28,100,4.45,overcast clouds
300,Dwarka,IN,22.2394,68.9678,82.44,82,100,20.76,moderate rain
